Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
,Afghanistan,2021-01-02 05:22:33,33.93911,67.709953,52513,2201,41727,8585,Afghanistan
,Albania,2021-01-02 05:22:33,41.1533,20.1683,58316,1181,33634,23501,Albania
,Algeria,2021-01-02 05:22:33,28.0339,1.6596,99897,2762,67395,29740,Algeria
,Andorra,2021-01-02 05:22:33,42.5063,1.5218,8117,84,7463,570,Andorra
,Angola,2021-01-02 05:22:33,-11.2027,17.8739,17568,405,11146,6017,Angola
,Antigua and Barbuda,2021-01-02 05:22:33,17.0608,-61.7964,159,5,148,6,Antigua and Barbuda
,Argentina,2021-01-02 05:22:33,-38.4161,-63.6167,1629594,43319,1426676,159599,Argentina
,Armenia,2021-01-02 05:22:33,40.0691,45.0382,159738,2828,143355,13555,Armenia
Australian Capital Territory,Australia,2021-01-02 05:22:33,-35.4735,149.0124,118,3,114,1,"Australian Capital Territory, Australia"
New South Wales,Australia,2021-01-02 05:22:33,-33.8688,151.2093,4947,54,0,4893,"New South Wales, Australia"
Northern Territory,Australia,2021-01-02 05:22:33,-12.4634,130.8456,75,0,71,4,"Northern Territory, Australia"
Queensland,Australia,2021-01-02 05:22:33,-27.4698,153.0251,1255,6,1224,25,"Queensland, Australia"
South Australia,Australia,2021-01-02 05:22:33,-34.9285,138.6007,580,4,566,10,"South Australia, Australia"
Tasmania,Australia,2021-01-02 05:22:33,-42.8821,147.3272,234,13,221,0,"Tasmania, Australia"
Victoria,Australia,2021-01-02 05:22:33,-37.8136,144.9631,20388,820,19539,29,"Victoria, Australia"
Western Australia,Australia,2021-01-02 05:22:33,-31.9505,115.8605,863,9,838,16,"Western Australia, Australia"
,Austria,2021-01-02 05:22:33,47.5162,14.5501,362911,6261,334901,21749,Austria
,Azerbaijan,2021-01-02 05:22:33,40.1431,47.5769,219041,2670,188280,28091,Azerbaijan
,Bahamas,2021-01-02 05:22:33,25.025885,-78.035889,7887,171,6239,1477,Bahamas
,Bahrain,2021-01-02 05:22:33,26.0275,50.55,92913,352,90369,2192,Bahrain
,Bangladesh,2021-01-02 05:22:33,23.685,90.3563,514500,7576,458656,48268,Bangladesh
,Barbados,2021-01-02 05:22:33,13.1939,-59.5432,395,7,319,69,Barbados
,Belarus,2021-01-02 05:22:33,53.7098,27.9534,196223,1433,178102,16688,Belarus
Antwerp,Belgium,2021-01-02 05:22:33,51.2195,4.4024,79680,0,0,79680,"Antwerp, Belgium"
Brussels,Belgium,2021-01-02 05:22:33,50.8503,4.3517,81557,0,0,81557,"Brussels, Belgium"
East Flanders,Belgium,2021-01-02 05:22:33,51.0362,3.7373,65260,0,0,65260,"East Flanders, Belgium"
Flemish Brabant,Belgium,2021-01-02 05:22:33,50.9167,4.5833,49270,0,0,49270,"Flemish Brabant, Belgium"
Hainaut,Belgium,2021-01-02 05:22:33,50.5257,4.0621,102209,0,0,102209,"Hainaut, Belgium"
Liege,Belgium,2021-01-02 05:22:33,50.4496,5.8492,97027,0,0,97027,"Liege, Belgium"
Limburg,Belgium,2021-01-02 05:22:33,50.9739,5.3420000000000005,29349,0,0,29349,"Limburg, Belgium"
Luxembourg,Belgium,2021-01-02 05:22:33,50.0547,5.4677,18416,0,0,18416,"Luxembourg, Belgium"
Namur,Belgium,2021-01-02 05:22:33,50.331,4.8221,35462,0,0,35462,"Namur, Belgium"
Unknown,Belgium,2021-01-02 05:22:33,,,10701,19581,0,0,"Unknown, Belgium"
Walloon Brabant,Belgium,2021-01-02 05:22:33,50.4,4.35,25144,0,0,25144,"Walloon Brabant, Belgium"
